index,10-21-2021,10-20-2021,10-19-2021,10-18-2021,10-17-2021,10-16-2021,10-15-2021,10-14-2021,10-13-2021,10-12-2021,10-11-2021,10-10-2021,10-9-2021,10-8-2021,10-7-2021,10-6-2021,10-5-2021,10-4-2021,10-3-2021,10-2-2021,10-1-2021,9-30-2021,9-29-2021,9-28-2021,9-27-2021,9-26-2021,9-25-2021,9-24-2021,9-23-2021,9-21-2021,9-20-2021,9-19-2021,9-18-2021,9-17-2021,9-16-2021,9-15-2021,9-14-2021,9-13-2021,9-12-2021,9-11-2021,9-10-2021,9-9-2021,9-8-2021,9-7-2021,9-6-2021,9-5-2021,9-4-2021,9-3-2021,9-2-2021,9-1-2021,8-31-2021,8-30-2021,8-29-2021,8-28-2021,8-27-2021,8-26-2021,8-25-2021,8-24-2021,8-23-2021,8-22-2021,8-21-2021,8-20-2021,8-19-2021,8-18-2021,8-17-2021,8-16-2021,8-15-2021,8-14-2021,8-13-2021,8-12-2021,8-11-2021,8-10-2021,8-9-2021,8-8-2021,8-7-2021,8-6-2021,8-5-2021,8-4-2021,8-3-2021,8-2-2021,8-1-2021,7-31-2021,7-30-2021,7-29-2021,7-28-2021,7-27-2021,7-26-2021,7-25-2021,7-24-2021,7-23-2021,7-22-2021,7-21-2021,7-20-2021,7-19-2021,7-18-2021,7-17-2021,7-16-2021,7-15-2021,7-14-2021,7-13-2021,7-12-2021,7-11-2021,7-10-2021,7-9-2021,7-8-2021,7-7-2021,7-6-2021,7-5-2021,7-4-2021,7-3-2021,7-2-2021,7-1-2021,6-30-2021,6-29-2021,6-28-2021,6-27-2021,6-26-2021,6-25-2021,6-24-2021,6-23-2021,6-22-2021,6-21-2021,6-20-2021,6-19-2021,6-18-2021,6-17-2021,6-16-2021,6-15-2021,6-14-2021,6-13-2021,6-12-2021,6-11-2021,6-10-2021,6-9-2021,6-8-2021,6-7-2021,6-6-2021,6-5-2021,6-4-2021,6-3-2021,6-2-2021,6-1-2021,5-19-2021,5-18-2021,5-17-2021,5-16-2021,5-15-2021,5-14-2021,5-13-2021,5-12-2021
US Cases,"45,289,095.00","45,207,108.00","45,120,516.00","45,036,892.00","44,914,859.00","44,892,707.00","44,859,166.00","44,760,674.00","44,671,706.00","44,565,236.00","44,453,529.00","44,330,001.00","44,306,976.00","44,269,659.00","44,155,950.00","44,051,008.00","43,925,440.00","43,826,849.00","43,654,161.00","43,628,328.00","43,584,125.00","43,458,265.00","43,341,542.00","43,213,681.00","43,100,295.00","42,905,572.00","42,871,356.00","42,819,781.00","42,678,374.00","42,404,380.00","42,274,064.00","42,065,351.00","42,026,148.00","41,956,165.00","41,790,700.00","41,635,803.00","41,448,621.00","41,289,068.00","41,027,727.00","40,988,382.00","40,914,456.00","40,738,029.00","40,567,568.00","40,383,380.00","40,081,326.00","40,005,266.00","39,960,123.00","39,894,230.00","39,702,932.00","39,527,445.00","39,316,629.00","39,156,379.00","38,875,807.00","38,833,649.00","38,745,199.00","38,552,541.00","38,364,673.00","38,193,951.00","38,043,754.00","37,777,607.00","37,744,654.00","37,657,643.00","37,455,645.00","37,296,398.00","37,133,674.00","36,980,215.00","36,727,846.00","36,684,028.00","36,633,631.00","36,446,791.00","36,308,196.00","36,152,620.00","36,047,263.00","35,812,164.00","35,776,096.00","35,733,875.00","35,565,532.00","35,438,424.00","35,325,243.00","35,175,455.00","35,039,644.00","35,016,505.00","35,015,976.00","34,861,442.00","34,765,945.00","34,603,425.00","34,494,650.00","34,405,954.00","34,391,317.00","34,335,230.00","34,285,419.00","34,221,528.00","34,160,690.00","34,097,758.00","34,041,930.00","34,032,403.00","34,019,763.00","33,967,872.00","33,932,150.00","33,894,324.00","33,851,623.00","33,819,518.00","33,813,392.00","33,804,801.00","33,769,600.00","33,746,470.00","33,713,995.00","33,690,446.00","33,685,075.00","33,681,336.00","33,676,646.00","33,656,144.00",33639627.0,33618517.0,33607895.0,33592325.0,33588160.0,33581475.0,33566512.0,33551819.0,33537764.0,33524991.0,33509001.0,33504938.0,33497177.0,33475952.0,33465562.0,33452809.0,33441920.0,33429075.0,33424159.0,33415845.0,33430296.0,33418414.0,33398257.0,33383147.0,33369389.0,33363322.0,33352885.0,33336374.0,33320769.0,33303277.0,33053583.0,33024648.0,32996738.0,32967351.0,32950735.0,32921718.0,32880674.0,32842140.0
New US Cases,"81,987.00","86,592.00","83,624.00","122,033.00","22,152.00","33,541.00","98,560.00","89,037.00","106,470.00","111,707.00","123,528.00","23,025.00","37,317.00","113,709.00","104,942.00","125,568.00","98,591.00","172,688.00","25,833.00","44,203.00","125,860.00","116,090.00","127,861.00","113,327.00","194,723.00","34,216.00","51,575.00","139,986.00","126,418.00","130,208.00","207,974.00","39,203.00","69,983.00","165,465.00","154,897.00","170,109.00","159,553.00","261,341.00","39,345.00","73,926.00","176,427.00","170,460.00","184,188.00","301,138.00","76,060.00","44,417.00","65,893.00","191,298.00","175,487.00","210,816.00","160,250.00","280,403.00","42,158.00","88,450.00","192,720.00","187,868.00","170,722.00","150,197.00","266,147.00","40,573.00","87,011.00","199,606.00","159,787.00","162,724.00","144,297.00","252,369.00","43,818.00","50,068.00","186,840.00","138,595.00","155,576.00","161,990.00","235,099.00","36,068.00","42,221.00","168,343.00","127,108.00","112,270.00","149,788.00","135,811.00","23,139.00","29,692.00","29,163.00","95,271.00","84,735.00","108,775.00","88,696.00","14,637.00","22,472.00","48,890.00","63,877.00","60,838.00","62,484.00","55,828.00","9,527.00","12,595.00","51,891.00","35,563.00","38,236.00","41,835.00","32,105.00","6,126.00","8,591.00","35,201.00","23,130.00","32,475.00","23,549.00","5,371.00","3,485.00","4,690.00","20,502.00","16,517.00",16029.0,10622.0,15570.0,4087.0,6685.0,14963.0,14707.0,14042.0,12773.0,15834.0,4063.0,7761.0,12541.0,10329.0,12662.0,10889.0,12845.0,4916.0,8314.0,26076.0,11841.0,20146.0,15048.0,13758.0,6067.0,10437.0,16511.0,19497.0,17247.0,22260.0,28935.0,27910.0,29387.0,16616.0,29017.0,41044.0,38534.0,35538.0
VISN10 Cases,"2,849,399.00","2,844,739.00","2,833,310.00","2,829,443.00","2,817,601.00","2,815,619.00","2,812,937.00","2,800,018.00","2,794,346.00","2,780,501.00","2,775,730.00","2,762,667.00","2,758,629.00","2,756,299.00","2,741,527.00","2,735,301.00","2,721,673.00","2,716,111.00","2,701,200.00","2,698,529.00","2,694,028.00","2,680,590.00","2,673,105.00","2,660,198.00","2,653,093.00","2,639,289.00","2,636,122.00","2,632,240.00","2,619,887.00","2,598,286.00","2,591,361.00","2,575,984.00","2,572,672.00","2,567,771.00","2,554,106.00","2,545,034.00","2,530,614.00","2,522,697.00","2,506,227.00","2,502,968.00","2,496,846.00","2,481,237.00","2,471,738.00","2,462,164.00","2,444,160.00","2,441,313.00","2,437,102.00","2,432,359.00","2,420,097.00","2,411,360.00","2,398,562.00","2,391,749.00","2,377,042.00","2,374,012.00","2,370,119.00","2,359,703.00","2,351,974.00","2,341,055.00","2,335,574.00","2,324,020.00","2,322,367.00","2,319,906.00","2,310,392.00","2,305,245.00","2,297,957.00","2,293,596.00","2,284,483.00","2,282,951.00","2,281,110.00","2,274,231.00","2,269,368.00","2,262,558.00","2,259,209.00","2,252,060.00","2,250,936.00","2,249,118.00","2,242,846.00","2,239,826.00","2,237,010.00","2,232,188.00","2,229,414.00","2,228,742.00","2,227,592.00","2,223,689.00","2,221,799.00","2,219,787.00","2,216,376.00","2,214,435.00","2,214,037.00","2,213,506.00","2,210,960.00","2,209,617.00","2,208,501.00","2,206,558.00","2,205,199.00","2,204,966.00","2,204,568.00","2,202,985.00","2,202,118.00","2,201,387.00","2,200,115.00","2,199,302.00","2,199,122.00","2,198,876.00","2,197,609.00","2,196,924.00","2,196,452.00","2,195,251.00","2,195,090.00","2,195,090.00","2,194,936.00","2,194,431.00",2193486.0,2192805.0,2192192.0,2191401.0,2191282.0,2191104.0,2190560.0,2189932.0,2189203.0,2188582.0,2187975.0,2187846.0,2187279.0,2186678.0,2186179.0,2185483.0,2184898.0,2184128.0,2183912.0,2183158.0,2182360.0,2181477.0,2180708.0,2179856.0,2178914.0,2178685.0,2177790.0,2176541.0,2174665.0,2173832.0,2153661.0,2150900.0,2148617.0,2145492.0,2144588.0,2142149.0,2139115.0,2135739.0
VISN10 NewCases,"4,660.00","11,429.00","3,867.00","11,842.00","1,982.00","2,682.00","12,919.00","5,672.00","13,845.00","4,771.00","13,063.00","4,038.00","2,330.00","14,772.00","6,226.00","13,628.00","5,562.00","14,911.00","2,671.00","4,501.00","13,438.00","7,485.00","12,907.00","7,105.00","13,804.00","3,167.00","3,882.00","12,353.00","8,258.00","6,925.00","15,377.00","3,312.00","4,901.00","13,665.00","9,072.00","14,420.00","7,917.00","16,470.00","3,259.00","6,122.00","15,609.00","9,499.00","9,574.00","18,004.00","2,847.00","4,211.00","4,743.00","12,262.00","8,737.00","12,798.00","6,813.00","14,707.00","3,030.00","3,893.00","10,416.00","7,729.00","10,919.00","5,481.00","11,554.00","1,653.00","2,461.00","9,514.00","5,147.00","7,288.00","4,361.00","9,113.00","1,532.00","1,841.00","6,879.00","4,863.00","6,810.00","3,349.00","7,149.00","1,124.00","1,818.00","6,272.00","3,020.00","2,816.00","4,822.00","2,774.00",672.00,"1,150.00","3,903.00","1,890.00","2,012.00","3,411.00","1,941.00",398.00,531.00,"2,546.00","1,343.00","1,116.00","1,943.00","1,359.00",233.00,398.00,"1,583.00",867.00,731.00,1272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
VISN12 Cases,"2,283,336.00","2,278,814.00","2,273,782.00","2,269,993.00","2,262,646.00","2,257,803.00","2,257,803.00","2,255,111.00","2,250,189.00","2,244,193.00","2,234,534.00","2,228,527.00","2,228,527.00","2,228,527.00","2,222,519.00","2,216,610.00","2,210,793.00","2,203,510.00","2,191,575.00","2,191,575.00","2,191,575.00","2,184,598.00","2,179,311.00","2,173,102.00","2,167,671.00","2,156,027.00","2,156,027.00","2,156,027.00","2,150,108.00","2,137,149.00","2,130,663.00","2,116,869.00","2,116,869.00","2,116,869.00","2,110,179.00","2,102,991.00","2,095,379.00","2,089,590.00","2,078,987.00","2,078,987.00","2,078,987.00","2,072,255.00","2,066,417.00","2,060,597.00","2,050,516.00","2,046,488.00","2,046,488.00","2,046,488.00","2,039,914.00","2,033,947.00","2,027,670.00","2,021,451.00","2,010,178.00","2,010,178.00","2,010,178.00","2,003,946.00","1,998,889.00","1,993,666.00","1,988,714.00","1,979,167.00","1,979,167.00","1,979,167.00","1,973,934.00","1,969,888.00","1,965,531.00","1,961,052.00","1,952,232.00","1,952,232.00","1,952,232.00","1,947,754.00","1,943,922.00","1,939,690.00","1,936,002.00","1,928,330.00","1,928,330.00","1,928,330.00","1,924,848.00","1,920,953.00","1,918,167.00","1,914,667.00","1,908,924.00","1,908,924.00","1,908,924.00","1,906,243.00","1,904,146.00","1,901,952.00","1,899,897.00","1,896,623.00","1,896,623.00","1,896,623.00","1,895,090.00","1,893,497.00","1,892,473.00","1,891,538.00","1,889,313.00","1,889,313.00","1,889,313.00","1,888,622.00","1,887,875.00","1,887,233.00","1,886,674.00","1,885,488.00","1,885,488.00","1,885,488.00","1,884,929.00","1,884,309.00","1,883,859.00","1,882,973.00","1,882,839.00","1,882,837.00","1,882,832.00","1,882,452.00",1881963.0,1881709.0,1881355.0,1880695.0,1880684.0,1880680.0,1880396.0,1880073.0,1879748.0,1879439.0,1878757.0,1878749.0,1878730.0,1878523.0,1878190.0,1877798.0,1877431.0,1877038.0,1876798.0,1876479.0,1875991.0,1875449.0,1874975.0,1874465.0,1873921.0,1873642.0,1873174.0,1872426.0,1871549.0,1870877.0,1856066.0,1854209.0,1852426.0,1851098.0,1849919.0,1848062.0,1845864.0,1843467.0
VISN12 NewCases,"4,522.00","5,032.00","3,789.00","7,347.00","4,843.00",0.00,"2,692.00","4,922.00","5,996.00","9,659.00","6,007.00",0.00,0.00,"6,008.00","5,909.00","5,817.00","7,283.00","11,935.00",0.00,0.00,"6,977.00","5,287.00","6,209.00","5,431.00","11,644.00",0.00,0.00,"5,919.00","6,444.00","6,486.00","13,794.00",0.00,0.00,"6,690.00","7,188.00","7,612.00","5,789.00","10,603.00",0.00,0.00,"6,732.00","5,838.00","5,820.00","10,081.00","4,028.00",0.00,0.00,"6,574.00","5,967.00","6,277.00","6,219.00","11,104.00",0.00,0.00,"6,232.00","5,057.00","5,223.00","4,952.00","9,547.00",0.00,0.00,"5,233.00","4,046.00","4,357.00","4,479.00","8,820.00",0.00,0.00,"4,478.00","3,832.00","4,232.00","3,688.00","7,672.00",0.00,0.00,"3,482.00","3,895.00","2,786.00","3,500.00","5,743.00",0.00,0.00,"2,681.00","2,097.00","2,194.00","2,055.00","3,274.00",0.00,0.00,"1,533.00","1,593.00","1,024.00",935.00,"2,225.00",0.00,0.00,691.00,747.00,621.00,559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISN20 Cases,"1,466,854.00","1,460,286.00","1,454,273.00","1,443,487.00","1,437,000.00","1,436,669.00","1,436,108.00","1,430,287.00","1,423,629.00","1,416,683.00","1,410,964.00","1,399,242.00","1,398,987.00","1,398,315.00","1,392,109.00","1,386,067.00","1,379,907.00","1,373,644.00","1,360,209.00","1,359,779.00","1,359,028.00","1,351,665.00","1,343,730.00","1,336,574.00","1,330,149.00","1,312,925.00","1,312,439.00","1,311,810.00","1,303,305.00","1,287,680.00","1,280,774.00","1,266,379.00","1,266,088.00","1,265,359.00","1,257,386.00","1,249,248.00","1,241,034.00","1,233,826.00","1,216,666.00","1,215,326.00","1,215,254.00","1,207,260.00","1,198,494.00","1,190,208.00","1,168,445.00","1,168,249.00","1,167,952.00","1,167,899.00","1,159,691.00","1,149,984.00","1,140,881.00","1,133,412.00","1,115,844.00","1,115,739.00","1,112,458.00","1,106,349.00","1,098,363.00","1,090,838.00","1,083,241.00","1,067,716.00","1,067,548.00","1,067,336.00","1,060,160.00","1,051,563.00","1,043,725.00","1,036,952.00","1,022,288.00","1,022,107.00","1,022,070.00","1,015,939.00","1,008,799.00","1,001,443.00","996,656.00","984,970.00","984,749.00","984,749.00","980,403.00","974,906.00","969,732.00","962,414.00","955,959.00","955,959.00","955,935.00","952,860.00","950,538.00","947,432.00","945,114.00","939,758.00","939,758.00","939,758.00","938,012.00","935,127.00","933,001.00","931,418.00","928,009.00","928,009.00","927,998.00","926,480.00","925,289.00","923,875.00","922,753.00","920,160.00","920,160.00","920,160.00","919,178.00","918,264.00","917,179.00","915,321.00","915,321.00","915,321.00","915,321.00","914,540.00",913762.0,913081.0,912461.0,911510.0,911326.0,910792.0,909951.0,909063.0,907777.0,907014.0,905737.0,905478.0,904803.0,903961.0,903047.0,902134.0,901243.0,900141.0,899925.0,899134.0,898001.0,896877.0,894627.0,893520.0,893233.0,893014.0,892099.0,890647.0,889381.0,888055.0,869213.0,867546.0,866233.0,864579.0,863984.0,862569.0,859008.0,856704.0
VISN20 NewCases,"6,568.00","6,013.00","10,786.00","6,487.00",331.00,561.00,"5,821.00","6,658.00","6,946.00","5,719.00","11,722.00",255.00,672.00,"6,206.00","6,042.00","6,160.00","6,263.00","13,435.00",430.00,751.00,"7,363.00","7,935.00","7,156.00","6,425.00","17,224.00",486.00,629.00,"8,505.00","8,791.00","6,906.00","14,395.00",291.00,618.00,"7,973.00","8,138.00","8,214.00","7,208.00","17,160.00","1,340.00",72.00,"7,994.00","8,766.00","8,286.00","21,763.00",196.00,297.00,53.00,"8,208.00","9,707.00","9,103.00","7,469.00","17,568.00",105.00,"3,281.00","6,109.00","7,986.00","7,525.00","7,597.00","15,525.00",168.00,212.00,"7,176.00","8,597.00","7,838.00","6,773.00","14,664.00",181.00,37.00,"6,131.00","7,140.00","7,356.00","4,787.00","11,686.00",221.00,0.00,"4,346.00","5,497.00","4,754.00","7,318.00","6,455.00",0.00,24.00,"3,075.00","2,322.00","3,041.00","2,318.00","5,356.00",0.00,0.00,"1,746.00","2,885.00","2,126.00","1,583.00","3,409.00",0.00,11.00,"1,518.00","1,191.00","1,414.00",1032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISN15 Cases,"1,544,107.00","1,542,338.00","1,537,902.00","1,536,400.00","1,533,510.00","1,532,933.00","1,532,118.00","1,528,690.00","1,526,750.00","1,521,941.00","1,520,061.00","1,517,257.00","1,516,606.00","1,515,655.00","1,511,475.00","1,509,206.00","1,503,786.00","1,501,809.00","1,497,949.00","1,497,059.00","1,495,784.00","1,490,959.00","1,488,215.00","1,482,171.00","1,479,843.00","1,475,464.00","1,474,719.00","1,473,020.00","1,467,838.00","1,458,677.00","1,455,214.00","1,449,674.00","1,448,731.00","1,446,892.00","1,440,377.00","1,436,843.00","1,428,226.00","1,424,958.00","1,417,993.00","1,416,619.00","1,414,357.00","1,405,858.00","1,401,829.00","1,391,427.00","1,385,306.00","1,385,389.00","1,383,584.00","1,381,563.00","1,373,637.00","1,369,495.00","1,360,139.00","1,357,070.00","1,348,556.00","1,347,594.00","1,345,656.00","1,338,431.00","1,334,490.00","1,325,828.00","1,322,583.00","1,315,429.00","1,313,969.00","1,312,131.00","1,302,612.00","1,298,017.00","1,292,395.00","1,289,216.00","1,282,535.00","1,281,166.00","1,278,653.00","1,271,947.00","1,267,407.00","1,258,685.00","1,255,282.00","1,248,701.00","1,247,399.00","1,245,352.00","1,239,198.00","1,234,471.00","1,225,418.00","1,222,308.00","1,217,611.00","1,216,045.00","1,213,907.00","1,207,680.00","1,203,917.00","1,197,577.00","1,194,600.00","1,190,294.00","1,189,128.00","1,186,728.00","1,180,958.00","1,177,102.00","1,173,140.00","1,170,464.00","1,167,409.00","1,166,586.00","1,164,816.00","1,159,947.00","1,156,994.00","1,153,975.00","1,151,411.00","1,149,497.00","1,148,801.00","1,147,837.00","1,144,421.00","1,142,659.00","1,139,633.00","1,138,045.00","1,137,473.00","1,136,394.00","1,136,176.00","1,134,762.00",1133321.0,1131257.0,1130177.0,1128841.0,1128507.0,1128029.0,1126723.0,1125569.0,1124249.0,1123379.0,1122567.0,1122306.0,1121703.0,1120730.0,1119954.0,1118656.0,1118084.0,1117394.0,1117127.0,1116668.0,1115696.0,,,,,,,,,,,,,,,,,
VISN15 NewCases,"1,769.00","4,436.00","1,502.00","2,890.00",577.00,815.00,"3,570.00","2,089.00","4,809.00","1,880.00","2,804.00",651.00,951.00,"4,180.00","2,269.00","5,420.00","1,977.00","3,860.00",890.00,"1,275.00","4,825.00","2,744.00","6,044.00","2,328.00","4,379.00",745.00,"1,699.00","5,181.00","2,928.00","2,774.00","5,492.00",943.00,"1,839.00","6,515.00","3,534.00","8,617.00","3,268.00","6,965.00","1,374.00","2,262.00","8,499.00","4,029.00","10,402.00","5,205.00",-83.00,"1,079.00","2,021.00","7,926.00","4,142.00","9,356.00","3,069.00","8,514.00",962.00,"1,938.00","7,225.00","3,941.00","8,662.00","3,245.00","7,154.00","1,460.00","1,838.00","6,940.00","4,595.00","5,622.00","3,179.00","6,681.00","1,369.00","2,382.00","6,706.00","4,540.00","8,722.00","3,403.00","6,581.00","1,302.00","2,047.00","6,154.00","4,727.00","9,053.00","3,110.00","4,697.00","1,566.00","2,138.00","6,227.00","3,575.00","6,340.00","2,977.00","4,396.00","1,166.00","2,400.00","4,572.00","3,856.00","3,962.00","2,676.00","3,055.00",823.00,"1,770.00","4,869.00","2,953.00","3,021.00",2515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
